Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;25/08/2020;17:50:00;102.420;102.460;102.090;102.090;819.272.410,13;40.046
WINFUT;25/08/2020;17:45:00;102.375;102.455;102.325;102.430;916.370.745,54;44.751
WINFUT;25/08/2020;17:40:00;102.315;102.395;102.310;102.380;501.652.860,39;24.507
WINFUT;25/08/2020;17:35:00;102.310;102.330;102.270;102.315;536.832.027,92;26.236
WINFUT;25/08/2020;17:30:00;102.355;102.375;102.300;102.310;603.423.911,91;29.482
WINFUT;25/08/2020;17:25:00;102.280;102.395;102.255;102.355;1.007.772.391,87;49.237
WINFUT;25/08/2020;17:20:00;102.285;102.305;102.265;102.275;384.093.137,66;18.775
WINFUT;25/08/2020;17:15:00;102.305;102.325;102.245;102.280;796.207.885,73;38.922
WINFUT;25/08/2020;17:10:00;102.320;102.350;102.285;102.305;1.014.528.906,95;49.579
WINFUT;25/08/2020;17:05:00;102.155;102.370;102.150;102.315;2.411.994.189,58;117.925
WINFUT;25/08/2020;17:00:00;102.070;102.170;102.005;102.150;1.728.079.828,51;84.628
WINFUT;25/08/2020;16:55:00;102.105;102.125;102.030;102.065;1.499.891.230,14;73.463
WINFUT;25/08/2020;16:50:00;102.050;102.110;101.950;102.105;1.947.478.367,75;95.450
WINFUT;25/08/2020;16:45:00;102.065;102.085;102.005;102.045;1.282.075.406,94;62.819
WINFUT;25/08/2020;16:40:00;102.170;102.225;102.035;102.065;1.878.085.021,73;91.951
WINFUT;25/08/2020;16:35:00;102.035;102.245;102.025;102.170;2.271.918.183,54;111.189
WINFUT;25/08/2020;16:30:00;102.040;102.115;102.025;102.035;1.281.544.338,93;62.775
WINFUT;25/08/2020;16:25:00;101.985;102.080;101.970;102.045;1.313.648.914,39;64.375
WINFUT;25/08/2020;16:20:00;102.060;102.070;101.940;101.980;1.659.022.972,49;81.330
WINFUT;25/08/2020;16:15:00;102.095;102.115;102.025;102.055;1.162.016.985,14;56.928
WINFUT;25/08/2020;16:10:00;102.025;102.180;102.010;102.095;2.879.400.111,49;141.004
WINFUT;25/08/2020;16:05:00;101.900;102.045;101.890;102.030;1.334.799.757,72;65.446
